 Jurisdiccion ; Sexo ; Edad(q) ; Poblacion;Fecha
2;1;0;72804;2022
2;1;5;96389;2022
2;1;10;96818;2022
2;1;15;95087;2022
2;1;20;108946;2022
2;1;25;124965;2022
2;1;30;118949;2022
2;1;35;114488;2022
2;1;40;105137;2022
2;1;45;101594;2022
2;1;50;95313;2022
2;1;55;91691;2022
2;1;60;87203;2022
2;1;65;82212;2022
2;1;70;80681;2022
2;1;75;72789;2022
2;1;80;57717;2022
2;1;85;42559;2022
2;1;90;24828;2022
2;1;95;8672;2022
2;1;100;1512;2022
6;1;0;520210;2022
6;1;5;681053;2022
6;1;10;691201;2022
6;1;15;660568;2022
6;1;20;633017;2022
6;1;25;596263;2022
6;1;30;604136;2022
6;1;35;592590;2022
6;1;40;620522;2022
6;1;45;579114;2022
6;1;50;495668;2022
6;1;55;439600;2022
6;1;60;404488;2022
6;1;65;367877;2022
6;1;70;321928;2022
6;1;75;251683;2022
6;1;80;175330;2022
6;1;85;115915;2022
6;1;90;60759;2022
6;1;95;12914;2022
6;1;100;1773;2022
10;1;0;13692;2022
10;1;5;16887;2022
10;1;10;16939;2022
10;1;15;17476;2022
10;1;20;19093;2022
10;1;25;18393;2022
10;1;30;17206;2022
10;1;35;15664;2022
10;1;40;15714;2022
10;1;45;13671;2022
10;1;50;10943;2022
10;1;55;9327;2022
10;1;60;8411;2022
10;1;65;7555;2022
10;1;70;5992;2022
10;1;75;4218;2022
10;1;80;2856;2022
10;1;85;1849;2022
10;1;90;976;2022
10;1;95;270;2022
10;1;100;42;2022
14;1;0;117842;2022
14;1;5;142550;2022
14;1;10;145003;2022
14;1;15;149594;2022
14;1;20;151815;2022
14;1;25;154325;2022
14;1;30;147070;2022
14;1;35;135132;2022
14;1;40;141330;2022
14;1;45;125105;2022
14;1;50;103674;2022
14;1;55;96535;2022
14;1;60;90046;2022
14;1;65;81821;2022
14;1;70;73004;2022
14;1;75;58184;2022
14;1;80;41183;2022
14;1;85;25739;2022
14;1;90;12355;2022
14;1;95;2722;2022
14;1;100;380;2022
18;1;0;42611;2022
18;1;5;48777;2022
18;1;10;48506;2022
18;1;15;50292;2022
18;1;20;51416;2022
18;1;25;51563;2022
18;1;30;48201;2022
18;1;35;41953;2022
18;1;40;39354;2022
18;1;45;33766;2022
18;1;50;27887;2022
18;1;55;26392;2022
18;1;60;24214;2022
18;1;65;20424;2022
18;1;70;15676;2022
18;1;75;11112;2022
18;1;80;8074;2022
18;1;85;5130;2022
18;1;90;2372;2022
18;1;95;603;2022
18;1;100;112;2022
22;1;0;49882;2022
22;1;5;56343;2022
22;1;10;52354;2022
22;1;15;51818;2022
22;1;20;51844;2022
22;1;25;48889;2022
22;1;30;45363;2022
22;1;35;39522;2022
22;1;40;39751;2022
22;1;45;32888;2022
22;1;50;27944;2022
22;1;55;26287;2022
22;1;60;23324;2022
22;1;65;19173;2022
22;1;70;13842;2022
22;1;75;9620;2022
22;1;80;6922;2022
22;1;85;4127;2022
22;1;90;1877;2022
22;1;95;440;2022
22;1;100;79;2022
26;1;0;18228;2022
26;1;5;24066;2022
26;1;10;25155;2022
26;1;15;21728;2022
26;1;20;21288;2022
26;1;25;22856;2022
26;1;30;23872;2022
26;1;35;23120;2022
26;1;40;22113;2022
26;1;45;18923;2022
26;1;50;15544;2022
26;1;55;14280;2022
26;1;60;12653;2022
26;1;65;10895;2022
26;1;70;8706;2022
26;1;75;6198;2022
26;1;80;4234;2022
26;1;85;2608;2022
26;1;90;1193;2022
26;1;95;299;2022
26;1;100;40;2022
30;1;0;44814;2022
30;1;5;56138;2022
30;1;10;54723;2022
30;1;15;55458;2022
30;1;20;57227;2022
30;1;25;57586;2022
30;1;30;56166;2022
30;1;35;52068;2022
30;1;40;51226;2022
30;1;45;45175;2022
30;1;50;37736;2022
30;1;55;34765;2022
30;1;60;32372;2022
30;1;65;28908;2022
30;1;70;24212;2022
30;1;75;18645;2022
30;1;80;13765;2022
30;1;85;8736;2022
30;1;90;4440;2022
30;1;95;1098;2022
30;1;100;168;2022
34;1;0;24163;2022
34;1;5;28861;2022
34;1;10;28224;2022
34;1;15;29149;2022
34;1;20;28396;2022
34;1;25;28017;2022
34;1;30;24210;2022
34;1;35;19211;2022
34;1;40;19396;2022
34;1;45;17053;2022
34;1;50;15023;2022
34;1;55;13910;2022
34;1;60;12447;2022
34;1;65;10338;2022
34;1;70;7674;2022
34;1;75;5199;2022
34;1;80;3386;2022
34;1;85;2007;2022
34;1;90;875;2022
34;1;95;240;2022
34;1;100;52;2022
38;1;0;24232;2022
38;1;5;32338;2022
38;1;10;33651;2022
38;1;15;35633;2022
38;1;20;33755;2022
38;1;25;32051;2022
38;1;30;30833;2022
38;1;35;29665;2022
38;1;40;30246;2022
38;1;45;26168;2022
38;1;50;20120;2022
38;1;55;17417;2022
38;1;60;15491;2022
38;1;65;13401;2022
38;1;70;10339;2022
38;1;75;7214;2022
38;1;80;4895;2022
38;1;85;2870;2022
38;1;90;1219;2022
38;1;95;271;2022
38;1;100;39;2022
42;1;0;10054;2022
42;1;5;13234;2022
42;1;10;13710;2022
42;1;15;12766;2022
42;1;20;12884;2022
42;1;25;14274;2022
42;1;30;14916;2022
42;1;35;14248;2022
42;1;40;13507;2022
42;1;45;11903;2022
42;1;50;10219;2022
42;1;55;9735;2022
42;1;60;8648;2022
42;1;65;7714;2022
42;1;70;6714;2022
42;1;75;5411;2022
42;1;80;3929;2022
42;1;85;2472;2022
42;1;90;1193;2022
42;1;95;346;2022
42;1;100;65;2022
46;1;0;12165;2022
46;1;5;15154;2022
46;1;10;15321;2022
46;1;15;16665;2022
46;1;20;17142;2022
46;1;25;18228;2022
46;1;30;16941;2022
46;1;35;14079;2022
46;1;40;14585;2022
46;1;45;12641;2022
46;1;50;9955;2022
46;1;55;8974;2022
46;1;60;7886;2022
46;1;65;6571;2022
46;1;70;5191;2022
46;1;75;3603;2022
46;1;80;2397;2022
46;1;85;1492;2022
46;1;90;706;2022
46;1;95;176;2022
46;1;100;30;2022
50;1;0;63649;2022
50;1;5;84183;2022
50;1;10;84188;2022
50;1;15;76769;2022
50;1;20;77157;2022
50;1;25;79588;2022
50;1;30;78266;2022
50;1;35;71757;2022
50;1;40;70751;2022
50;1;45;63667;2022
50;1;50;53289;2022
50;1;55;47038;2022
50;1;60;43905;2022
50;1;65;41196;2022
50;1;70;35872;2022
50;1;75;27291;2022
50;1;80;18337;2022
50;1;85;10739;2022
50;1;90;5227;2022
50;1;95;1105;2022
50;1;100;161;2022
54;1;0;55405;2022
54;1;5;64131;2022
54;1;10;60878;2022
54;1;15;61254;2022
54;1;20;60139;2022
54;1;25;54549;2022
54;1;30;50056;2022
54;1;35;43386;2022
54;1;40;40496;2022
54;1;45;34793;2022
54;1;50;29377;2022
54;1;55;27463;2022
54;1;60;24586;2022
54;1;65;19713;2022
54;1;70;13861;2022
54;1;75;9269;2022
54;1;80;6314;2022
54;1;85;3672;2022
54;1;90;1555;2022
54;1;95;388;2022
54;1;100;77;2022
58;1;0;21895;2022
58;1;5;28661;2022
58;1;10;29310;2022
58;1;15;25260;2022
58;1;20;24197;2022
58;1;25;28077;2022
58;1;30;30132;2022
58;1;35;26759;2022
58;1;40;24551;2022
58;1;45;21978;2022
58;1;50;18783;2022
58;1;55;17164;2022
58;1;60;14851;2022
58;1;65;12314;2022
58;1;70;9629;2022
58;1;75;6532;2022
58;1;80;4041;2022
58;1;85;2347;2022
58;1;90;1067;2022
58;1;95;251;2022
58;1;100;39;2022
62;1;0;23141;2022
62;1;5;30552;2022
62;1;10;30530;2022
62;1;15;27660;2022
62;1;20;28378;2022
62;1;25;30446;2022
62;1;30;32656;2022
62;1;35;30619;2022
62;1;40;28077;2022
62;1;45;24153;2022
62;1;50;20477;2022
62;1;55;19281;2022
62;1;60;17449;2022
62;1;65;14852;2022
62;1;70;12259;2022
62;1;75;9114;2022
62;1;80;6030;2022
62;1;85;3756;2022
62;1;90;1825;2022
62;1;95;486;2022
62;1;100;80;2022
66;1;0;53555;2022
66;1;5;67180;2022
66;1;10;65947;2022
66;1;15;62297;2022
66;1;20;64918;2022
66;1;25;62584;2022
66;1;30;57825;2022
66;1;35;51571;2022
66;1;40;49754;2022
66;1;45;43281;2022
66;1;50;34829;2022
66;1;55;30155;2022
66;1;60;26104;2022
66;1;65;22447;2022
66;1;70;17911;2022
66;1;75;12380;2022
66;1;80;8369;2022
66;1;85;4962;2022
66;1;90;2243;2022
66;1;95;636;2022
66;1;100;108;2022
70;1;0;29513;2022
70;1;5;35980;2022
70;1;10;34881;2022
70;1;15;34230;2022
70;1;20;33360;2022
70;1;25;34635;2022
70;1;30;32363;2022
70;1;35;28062;2022
70;1;40;27950;2022
70;1;45;25916;2022
70;1;50;21406;2022
70;1;55;18065;2022
70;1;60;16825;2022
70;1;65;15415;2022
70;1;70;13197;2022
70;1;75;9712;2022
70;1;80;6317;2022
70;1;85;3480;2022
70;1;90;1636;2022
70;1;95;337;2022
70;1;100;57;2022
74;1;0;16062;2022
74;1;5;20237;2022
74;1;10;21717;2022
74;1;15;22269;2022
74;1;20;21193;2022
74;1;25;20648;2022
74;1;30;20441;2022
74;1;35;18607;2022
74;1;40;19062;2022
74;1;45;16623;2022
74;1;50;13691;2022
74;1;55;12468;2022
74;1;60;11326;2022
74;1;65;9845;2022
74;1;70;8011;2022
74;1;75;5935;2022
74;1;80;3734;2022
74;1;85;2077;2022
74;1;90;987;2022
74;1;95;240;2022
74;1;100;32;2022
78;1;0;10996;2022
78;1;5;14554;2022
78;1;10;15130;2022
78;1;15;12937;2022
78;1;20;11205;2022
78;1;25;13449;2022
78;1;30;14220;2022
78;1;35;13235;2022
78;1;40;12783;2022
78;1;45;10453;2022
78;1;50;8490;2022
78;1;55;7311;2022
78;1;60;5886;2022
78;1;65;4658;2022
78;1;70;3221;2022
78;1;75;2103;2022
78;1;80;1429;2022
78;1;85;890;2022
78;1;90;384;2022
78;1;95;91;2022
78;1;100;14;2022
82;1;0;111706;2022
82;1;5;135853;2022
82;1;10;130069;2022
82;1;15;131609;2022
82;1;20;133716;2022
82;1;25;144109;2022
82;1;30;144825;2022
82;1;35;134875;2022
82;1;40;135836;2022
82;1;45;116031;2022
82;1;50;95851;2022
82;1;55;91189;2022
82;1;60;86236;2022
82;1;65;77971;2022
82;1;70;68267;2022
82;1;75;54649;2022
82;1;80;39653;2022
82;1;85;26084;2022
82;1;90;13188;2022
82;1;95;3237;2022
82;1;100;509;2022
86;1;0;37437;2022
86;1;5;43280;2022
86;1;10;43884;2022
86;1;15;45956;2022
86;1;20;46377;2022
86;1;25;44398;2022
86;1;30;41597;2022
86;1;35;36943;2022
86;1;40;36320;2022
86;1;45;30578;2022
86;1;50;23407;2022
86;1;55;19902;2022
86;1;60;18490;2022
86;1;65;16030;2022
86;1;70;12579;2022
86;1;75;9057;2022
86;1;80;6911;2022
86;1;85;4364;2022
86;1;90;2334;2022
86;1;95;736;2022
86;1;100;162;2022
90;1;0;58729;2022
90;1;5;72178;2022
90;1;10;72047;2022
90;1;15;71690;2022
90;1;20;75857;2022
90;1;25;75090;2022
90;1;30;69755;2022
90;1;35;60526;2022
90;1;40;64947;2022
90;1;45;54601;2022
90;1;50;41902;2022
90;1;55;37580;2022
90;1;60;35961;2022
90;1;65;33220;2022
90;1;70;26051;2022
90;1;75;16886;2022
90;1;80;11267;2022
90;1;85;7471;2022
90;1;90;3670;2022
90;1;95;908;2022
90;1;100;156;2022
94;1;0;5461;2022
94;1;5;7849;2022
94;1;10;7722;2022
94;1;15;6582;2022
94;1;20;6555;2022
94;1;25;7868;2022
94;1;30;8829;2022
94;1;35;7578;2022
94;1;40;6626;2022
94;1;45;5461;2022
94;1;50;4274;2022
94;1;55;4384;2022
94;1;60;3689;2022
94;1;65;2567;2022
94;1;70;1563;2022
94;1;75;928;2022
94;1;80;589;2022
94;1;85;295;2022
94;1;90;152;2022
94;1;95;42;2022
94;1;100;6;2022
2;1;0;67432;2023
2;1;5;93045;2023
2;1;10;98089;2023
2;1;15;96146;2023
2;1;20;105569;2023
2;1;25;122518;2023
2;1;30;120366;2023
2;1;35;114439;2023
2;1;40;105843;2023
2;1;45;101785;2023
2;1;50;96627;2023
2;1;55;91338;2023
2;1;60;87819;2023
2;1;65;81962;2023
2;1;70;79284;2023
2;1;75;73321;2023
2;1;80;58596;2023
2;1;85;42197;2023
2;1;90;25305;2023
2;1;95;8894;2023
2;1;100;1758;2023
6;1;0;476910;2023
6;1;5;666222;2023
6;1;10;695685;2023
6;1;15;665478;2023
6;1;20;639361;2023
6;1;25;599418;2023
6;1;30;595993;2023
6;1;35;599008;2023
6;1;40;609278;2023
6;1;45;596142;2023
6;1;50;508713;2023
6;1;55;445690;2023
6;1;60;407086;2023
6;1;65;370793;2023
6;1;70;323999;2023
6;1;75;258518;2023
6;1;80;178556;2023
6;1;85;113943;2023
6;1;90;61725;2023
6;1;95;14610;2023
6;1;100;1836;2023
10;1;0;12587;2023
10;1;5;16851;2023
10;1;10;16778;2023
10;1;15;17131;2023
10;1;20;18986;2023
10;1;25;18587;2023
10;1;30;17550;2023
10;1;35;15816;2023
10;1;40;15682;2023
10;1;45;14255;2023
10;1;50;11373;2023
10;1;55;9496;2023
10;1;60;8494;2023
10;1;65;7640;2023
10;1;70;6208;2023
10;1;75;4383;2023
10;1;80;2890;2023
10;1;85;1811;2023
10;1;90;984;2023
10;1;95;283;2023
10;1;100;45;2023
14;1;0;110636;2023
14;1;5;140750;2023
14;1;10;145446;2023
14;1;15;149638;2023
14;1;20;151565;2023
14;1;25;153715;2023
14;1;30;148937;2023
14;1;35;136582;2023
14;1;40;139038;2023
14;1;45;131137;2023
14;1;50;106405;2023
14;1;55;96773;2023
14;1;60;91150;2023
14;1;65;82489;2023
14;1;70;73299;2023
14;1;75;59648;2023
14;1;80;41885;2023
14;1;85;25635;2023
14;1;90;12590;2023
14;1;95;3050;2023
14;1;100;392;2023
18;1;0;39815;2023
18;1;5;49153;2023
18;1;10;48404;2023
18;1;15;49485;2023
18;1;20;51060;2023
18;1;25;51877;2023
18;1;30;48614;2023
18;1;35;43347;2023
18;1;40;39324;2023
18;1;45;35390;2023
18;1;50;28554;2023
18;1;55;26302;2023
18;1;60;24658;2023
18;1;65;20921;2023
18;1;70;16205;2023
18;1;75;11476;2023
18;1;80;8021;2023
18;1;85;5195;2023
18;1;90;2486;2023
18;1;95;648;2023
18;1;100;121;2023
22;1;0;46665;2023
22;1;5;56922;2023
22;1;10;53233;2023
22;1;15;50232;2023
22;1;20;52435;2023
22;1;25;48668;2023
22;1;30;47137;2023
22;1;35;39000;2023
22;1;40;40349;2023
22;1;45;34073;2023
22;1;50;28384;2023
22;1;55;26444;2023
22;1;60;23639;2023
22;1;65;19698;2023
22;1;70;14437;2023
22;1;75;9714;2023
22;1;80;6823;2023
22;1;85;4090;2023
22;1;90;1906;2023
22;1;95;451;2023
22;1;100;80;2023
26;1;0;16710;2023
26;1;5;23411;2023
26;1;10;25119;2023
26;1;15;22402;2023
26;1;20;21077;2023
26;1;25;22528;2023
26;1;30;23806;2023
26;1;35;23316;2023
26;1;40;22350;2023
26;1;45;19652;2023
26;1;50;16053;2023
26;1;55;14326;2023
26;1;60;12991;2023
26;1;65;11087;2023
26;1;70;9001;2023
26;1;75;6487;2023
26;1;80;4315;2023
26;1;85;2652;2023
26;1;90;1264;2023
26;1;95;327;2023
26;1;100;43;2023
30;1;0;41380;2023
30;1;5;55567;2023
30;1;10;55135;2023
30;1;15;54673;2023
30;1;20;57003;2023
30;1;25;57471;2023
30;1;30;57006;2023
30;1;35;52630;2023
30;1;40;51336;2023
30;1;45;46842;2023
30;1;50;38821;2023
30;1;55;34874;2023
30;1;60;32737;2023
30;1;65;29284;2023
30;1;70;24661;2023
30;1;75;19089;2023
30;1;80;13799;2023
30;1;85;8744;2023
30;1;90;4466;2023
30;1;95;1201;2023
30;1;100;175;2023
34;1;0;22620;2023
34;1;5;28627;2023
34;1;10;28176;2023
34;1;15;28577;2023
34;1;20;28576;2023
34;1;25;27940;2023
34;1;30;25653;2023
34;1;35;19375;2023
34;1;40;19373;2023
34;1;45;17545;2023
34;1;50;15217;2023
34;1;55;14050;2023
34;1;60;12610;2023
34;1;65;10620;2023
34;1;70;8025;2023
34;1;75;5388;2023
34;1;80;3445;2023
34;1;85;2043;2023
34;1;90;928;2023
34;1;95;242;2023
34;1;100;54;2023
38;1;0;22161;2023
38;1;5;31599;2023
38;1;10;33352;2023
38;1;15;34849;2023
38;1;20;34353;2023
38;1;25;32163;2023
38;1;30;31206;2023
38;1;35;29654;2023
38;1;40;30225;2023
38;1;45;27319;2023
38;1;50;21112;2023
38;1;55;17562;2023
38;1;60;15806;2023
38;1;65;13611;2023
38;1;70;10762;2023
38;1;75;7473;2023
38;1;80;4961;2023
38;1;85;2904;2023
38;1;90;1276;2023
38;1;95;285;2023
38;1;100;39;2023
42;1;0;9336;2023
42;1;5;12887;2023
42;1;10;13805;2023
42;1;15;12714;2023
42;1;20;12751;2023
42;1;25;14189;2023
42;1;30;14933;2023
42;1;35;14400;2023
42;1;40;13770;2023
42;1;45;12206;2023
42;1;50;10507;2023
42;1;55;9702;2023
42;1;60;8910;2023
42;1;65;7752;2023
42;1;70;6821;2023
42;1;75;5527;2023
42;1;80;4031;2023
42;1;85;2503;2023
42;1;90;1250;2023
42;1;95;358;2023
42;1;100;71;2023
46;1;0;11467;2023
46;1;5;14776;2023
46;1;10;15416;2023
46;1;15;16400;2023
46;1;20;17101;2023
46;1;25;17881;2023
46;1;30;17510;2023
46;1;35;14416;2023
46;1;40;14291;2023
46;1;45;13346;2023
46;1;50;10313;2023
46;1;55;9024;2023
46;1;60;8098;2023
46;1;65;6721;2023
46;1;70;5337;2023
46;1;75;3788;2023
46;1;80;2421;2023
46;1;85;1496;2023
46;1;90;736;2023
46;1;95;188;2023
46;1;100;32;2023
50;1;0;58718;2023
50;1;5;82213;2023
50;1;10;84525;2023
50;1;15;79361;2023
50;1;20;75559;2023
50;1;25;78885;2023
50;1;30;78930;2023
50;1;35;72865;2023
50;1;40;70473;2023
50;1;45;65852;2023
50;1;50;54991;2023
50;1;55;47679;2023
50;1;60;44083;2023
50;1;65;41278;2023
50;1;70;36350;2023
50;1;75;28189;2023
50;1;80;18838;2023
50;1;85;10783;2023
50;1;90;5262;2023
50;1;95;1241;2023
50;1;100;161;2023
54;1;0;52303;2023
54;1;5;64107;2023
54;1;10;61360;2023
54;1;15;60289;2023
54;1;20;60698;2023
54;1;25;55097;2023
54;1;30;51824;2023
54;1;35;44193;2023
54;1;40;40987;2023
54;1;45;36092;2023
54;1;50;30067;2023
54;1;55;27519;2023
54;1;60;25136;2023
54;1;65;20478;2023
54;1;70;14577;2023
54;1;75;9600;2023
54;1;80;6311;2023
54;1;85;3709;2023
54;1;90;1609;2023
54;1;95;397;2023
54;1;100;78;2023
58;1;0;20358;2023
58;1;5;28111;2023
58;1;10;29225;2023
58;1;15;26145;2023
58;1;20;23943;2023
58;1;25;27571;2023
58;1;30;30386;2023
58;1;35;27592;2023
58;1;40;24872;2023
58;1;45;22547;2023
58;1;50;19353;2023
58;1;55;17294;2023
58;1;60;15356;2023
58;1;65;12633;2023
58;1;70;9991;2023
58;1;75;6945;2023
58;1;80;4208;2023
58;1;85;2367;2023
58;1;90;1113;2023
58;1;95;269;2023
58;1;100;40;2023
62;1;0;21450;2023
62;1;5;29988;2023
62;1;10;30685;2023
62;1;15;28095;2023
62;1;20;28040;2023
62;1;25;30177;2023
62;1;30;32603;2023
62;1;35;31375;2023
62;1;40;28662;2023
62;1;45;24958;2023
62;1;50;21058;2023
62;1;55;19291;2023
62;1;60;17886;2023
62;1;65;15199;2023
62;1;70;12536;2023
62;1;75;9507;2023
62;1;80;6244;2023
62;1;85;3744;2023
62;1;90;1916;2023
62;1;95;521;2023
62;1;100;86;2023
66;1;0;49369;2023
66;1;5;66416;2023
66;1;10;66795;2023
66;1;15;61818;2023
66;1;20;64278;2023
66;1;25;63000;2023
66;1;30;59390;2023
66;1;35;52044;2023
66;1;40;50129;2023
66;1;45;44866;2023
66;1;50;36217;2023
66;1;55;30559;2023
66;1;60;26752;2023
66;1;65;22756;2023
66;1;70;18455;2023
66;1;75;12964;2023
66;1;80;8449;2023
66;1;85;5039;2023
66;1;90;2294;2023
66;1;95;651;2023
66;1;100;116;2023
70;1;0;27813;2023
70;1;5;35322;2023
70;1;10;35206;2023
70;1;15;34564;2023
70;1;20;33185;2023
70;1;25;34265;2023
70;1;30;33561;2023
70;1;35;28284;2023
70;1;40;27840;2023
70;1;45;26587;2023
70;1;50;22284;2023
70;1;55;18429;2023
70;1;60;16829;2023
70;1;65;15575;2023
70;1;70;13354;2023
70;1;75;10112;2023
70;1;80;6474;2023
70;1;85;3532;2023
70;1;90;1631;2023
70;1;95;377;2023
70;1;100;57;2023
74;1;0;14971;2023
74;1;5;19819;2023
74;1;10;21467;2023
74;1;15;22346;2023
74;1;20;21419;2023
74;1;25;20847;2023
74;1;30;20706;2023
74;1;35;18972;2023
74;1;40;18953;2023
74;1;45;17436;2023
74;1;50;14123;2023
74;1;55;12566;2023
74;1;60;11574;2023
74;1;65;10034;2023
74;1;70;8245;2023
74;1;75;6173;2023
74;1;80;3874;2023
74;1;85;2074;2023
74;1;90;967;2023
74;1;95;245;2023
74;1;100;32;2023
78;1;0;9917;2023
78;1;5;14320;2023
78;1;10;15047;2023
78;1;15;13595;2023
78;1;20;11042;2023
78;1;25;12809;2023
78;1;30;14247;2023
78;1;35;13188;2023
78;1;40;12875;2023
78;1;45;10992;2023
78;1;50;8828;2023
78;1;55;7452;2023
78;1;60;6136;2023
78;1;65;4826;2023
78;1;70;3432;2023
78;1;75;2185;2023
78;1;80;1438;2023
78;1;85;883;2023
78;1;90;416;2023
78;1;95;97;2023
78;1;100;15;2023
82;1;0;105409;2023
82;1;5;134315;2023
82;1;10;131108;2023
82;1;15;130771;2023
82;1;20;132989;2023
82;1;25;141468;2023
82;1;30;146431;2023
82;1;35;135599;2023
82;1;40;135184;2023
82;1;45;121810;2023
82;1;50;98077;2023
82;1;55;90877;2023
82;1;60;87025;2023
82;1;65;78661;2023
82;1;70;68647;2023
82;1;75;55752;2023
82;1;80;40009;2023
82;1;85;25666;2023
82;1;90;13314;2023
82;1;95;3500;2023
82;1;100;529;2023
86;1;0;34704;2023
86;1;5;43754;2023
86;1;10;43135;2023
86;1;15;45321;2023
86;1;20;46530;2023
86;1;25;44671;2023
86;1;30;42480;2023
86;1;35;37477;2023
86;1;40;36336;2023
86;1;45;32196;2023
86;1;50;24484;2023
86;1;55;20162;2023
86;1;60;18563;2023
86;1;65;16397;2023
86;1;70;12913;2023
86;1;75;9333;2023
86;1;80;6801;2023
86;1;85;4488;2023
86;1;90;2328;2023
86;1;95;787;2023
86;1;100;179;2023
90;1;0;54942;2023
90;1;5;70934;2023
90;1;10;72507;2023
90;1;15;70845;2023
90;1;20;75544;2023
90;1;25;74929;2023
90;1;30;71476;2023
90;1;35;61403;2023
90;1;40;63208;2023
90;1;45;58452;2023
90;1;50;43287;2023
90;1;55;37821;2023
90;1;60;35937;2023
90;1;65;33464;2023
90;1;70;27030;2023
90;1;75;17846;2023
90;1;80;11184;2023
90;1;85;7312;2023
90;1;90;3758;2023
90;1;95;975;2023
90;1;100;167;2023
94;1;0;4822;2023
94;1;5;7672;2023
94;1;10;7686;2023
94;1;15;6868;2023
94;1;20;6523;2023
94;1;25;7535;2023
94;1;30;8875;2023
94;1;35;7938;2023
94;1;40;6732;2023
94;1;45;5732;2023
94;1;50;4417;2023
94;1;55;4322;2023
94;1;60;3878;2023
94;1;65;2762;2023
94;1;70;1700;2023
94;1;75;988;2023
94;1;80;606;2023
94;1;85;310;2023
94;1;90;150;2023
94;1;95;45;2023
94;1;100;7;2023
2;1;0;62352;2024
2;1;5;89078;2024
2;1;10;98634;2024
2;1;15;96759;2024
2;1;20;102759;2024
2;1;25;119652;2024
2;1;30;121887;2024
2;1;35;113741;2024
2;1;40;107149;2024
2;1;45;102126;2024
2;1;50;97832;2024
2;1;55;91157;2024
2;1;60;88408;2024
2;1;65;81911;2024
2;1;70;77951;2024
2;1;75;73737;2024
2;1;80;59294;2024
2;1;85;42149;2024
2;1;90;25534;2024
2;1;95;9280;2024
2;1;100;1966;2024
6;1;0;439349;2024
6;1;5;639543;2024
6;1;10;698448;2024
6;1;15;671784;2024
6;1;20;647940;2024
6;1;25;603811;2024
6;1;30;587368;2024
6;1;35;607329;2024
6;1;40;597153;2024
6;1;45;610189;2024
6;1;50;522925;2024
6;1;55;453328;2024
6;1;60;410494;2024
6;1;65;373866;2024
6;1;70;326437;2024
6;1;75;265747;2024
6;1;80;182707;2024
6;1;85;113652;2024
6;1;90;61594;2024
6;1;95;16745;2024
6;1;100;1978;2024
10;1;0;11576;2024
10;1;5;16465;2024
10;1;10;16762;2024
10;1;15;17033;2024
10;1;20;18636;2024
10;1;25;18755;2024
10;1;30;17826;2024
10;1;35;16060;2024
10;1;40;15589;2024
10;1;45;14780;2024
10;1;50;11851;2024
10;1;55;9716;2024
10;1;60;8598;2024
10;1;65;7712;2024
10;1;70;6422;2024
10;1;75;4589;2024
10;1;80;2967;2024
10;1;85;1828;2024
10;1;90;1003;2024
10;1;95;313;2024
10;1;100;51;2024
14;1;0;103890;2024
14;1;5;137103;2024
14;1;10;145420;2024
14;1;15;149874;2024
14;1;20;152153;2024
14;1;25;153394;2024
14;1;30;150326;2024
14;1;35;138514;2024
14;1;40;136428;2024
14;1;45;136474;2024
14;1;50;109787;2024
14;1;55;97307;2024
14;1;60;92303;2024
14;1;65;83267;2024
14;1;70;73706;2024
14;1;75;61250;2024
14;1;80;42782;2024
14;1;85;25842;2024
14;1;90;12719;2024
14;1;95;3469;2024
14;1;100;412;2024
18;1;0;37407;2024
18;1;5;48628;2024
18;1;10;48580;2024
18;1;15;48900;2024
18;1;20;51020;2024
18;1;25;51742;2024
18;1;30;48822;2024
18;1;35;44809;2024
18;1;40;39312;2024
18;1;45;36879;2024
18;1;50;29418;2024
18;1;55;26262;2024
18;1;60;25031;2024
18;1;65;21390;2024
18;1;70;16770;2024
18;1;75;11948;2024
18;1;80;8040;2024
18;1;85;5320;2024
18;1;90;2585;2024
18;1;95;714;2024
18;1;100;129;2024
22;1;0;43868;2024
22;1;5;56432;2024
22;1;10;54478;2024
22;1;15;49471;2024
22;1;20;52908;2024
22;1;25;48872;2024
22;1;30;48666;2024
22;1;35;38863;2024
22;1;40;40441;2024
22;1;45;35327;2024
22;1;50;29103;2024
22;1;55;26492;2024
22;1;60;24002;2024
22;1;65;20198;2024
22;1;70;15105;2024
22;1;75;9983;2024
22;1;80;6790;2024
22;1;85;4126;2024
22;1;90;1932;2024
22;1;95;478;2024
22;1;100;84;2024
26;1;0;15369;2024
26;1;5;22489;2024
26;1;10;24944;2024
26;1;15;23366;2024
26;1;20;20838;2024
26;1;25;22181;2024
26;1;30;23640;2024
26;1;35;23532;2024
26;1;40;22511;2024
26;1;45;20365;2024
26;1;50;16651;2024
26;1;55;14405;2024
26;1;60;13324;2024
26;1;65;11280;2024
26;1;70;9310;2024
26;1;75;6811;2024
26;1;80;4442;2024
26;1;85;2721;2024
26;1;90;1321;2024
26;1;95;367;2024
26;1;100;48;2024
30;1;0;38365;2024
30;1;5;54063;2024
30;1;10;55622;2024
30;1;15;53991;2024
30;1;20;56797;2024
30;1;25;57489;2024
30;1;30;57676;2024
30;1;35;53301;2024
30;1;40;51302;2024
30;1;45;48368;2024
30;1;50;40093;2024
30;1;55;35091;2024
30;1;60;33088;2024
30;1;65;29644;2024
30;1;70;25142;2024
30;1;75;19641;2024
30;1;80;13912;2024
